Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
148,49,"192.168.1.10",441770703679608,10781006440359
149,49,"192.168.1.4",266870434632560,10781006442626
149,49,"192.168.1.10",441770703693534,10781006445074
49,49,"192.168.2.10",441770703707923,10781006488495
150,50,"192.168.1.10",441770703866349,10781006591917
150,50,"192.168.1.4",266870434805949,10781006594348
151,50,"192.168.1.10",441770703887645,10781006645789
151,50,"192.168.1.4",266870434827949,10781006648561
152,50,"192.168.1.10",441770703901182,10781006650870
152,50,"192.168.1.4",266870434841875,10781006653253
50,50,"192.168.2.10",441770703914663,10781006696463
153,51,"192.168.1.4",266870435013282,10781006799565
153,51,"192.168.1.10",441770704079089,10781006802118
154,51,"192.168.1.4",266870435034912,10781006860863
154,51,"192.168.1.10",441770704101108,10781006863263
155,51,"192.168.1.4",266870435048949,10781006865519
155,51,"192.168.1.10",441770704115108,10781006867896
51,51,"192.168.2.10",441770704128571,10781006904734
156,52,"192.168.1.4",266870435221653,10781007008272
156,52,"192.168.1.10",441770704283237,10781007010785
157,52,"192.168.1.4",266870435243097,10781007062134
157,52,"192.168.1.10",441770704304756,10781007064695
158,52,"192.168.1.10",441770704318719,10781007066827
158,52,"192.168.1.4",266870435257875,10781007069237
52,52,"192.168.2.10",441770704332163,10781007112801
159,53,"192.168.1.10",441770704491200,10781007216504
159,53,"192.168.1.4",266870435430153,10781007218975
160,53,"192.168.1.10",441770704512534,10781007276284
160,53,"192.168.1.4",266870435452171,10781007279932
161,53,"192.168.1.10",441770704526219,10781007283563
161,53,"192.168.1.4",266870435466264,10781007285930
53,53,"192.168.2.10",441770704539904,10781007321889
162,54,"192.168.1.4",266870435638171,10781007426734
162,54,"192.168.1.10",441770704699478,10781007429211
163,54,"192.168.1.4",266870435659727,10781007479638
163,54,"192.168.1.10",441770704721219,10781007482383
164,54,"192.168.1.4",266870435673820,10781007484662
164,54,"192.168.1.10",441770704735312,10781007486990
54,54,"192.168.2.10",441770704748997,10781007529169
165,55,"192.168.1.10",441770704907904,10781007632889
165,55,"192.168.1.4",266870435847560,10781007635563
166,55,"192.168.1.10",441770704929182,10781007687669
