Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
279,34,"192.168.1.4",256577954558343,488604534303
244,34,"192.168.1.10",431478279657743,488604536537
280,35,"192.168.1.4",256577954663399,488604586340
281,35,"192.168.1.4",256577954685899,488604588766
245,35,"192.168.1.10",431478279775428,488604591054
282,35,"192.168.1.4",256577954700640,488604593388
246,35,"192.168.1.10",431478279796724,488604638456
283,35,"192.168.1.4",256577954714436,488604640968
247,35,"192.168.1.10",431478279810280,488604643217
284,35,"192.168.1.4",256577954728380,488604645573
248,35,"192.168.1.10",431478279823780,488604690486
285,35,"192.168.1.4",256577954742047,488604692960
249,35,"192.168.1.10",431478279837039,488604695085
286,35,"192.168.1.4",256577954755936,488604697336
250,35,"192.168.1.10",431478279850354,488604742286
287,35,"192.168.1.4",256577954769862,488604744581
251,35,"192.168.1.10",431478279863576,488604746946
288,36,"192.168.1.4",256577954870380,488604803004
289,36,"192.168.1.4",256577954892140,488604805424
290,36,"192.168.1.4",256577954906473,488604807603
291,36,"192.168.1.4",256577954920121,488604810126
252,36,"192.168.1.10",431478279983465,488604848635
292,36,"192.168.1.4",256577954934121,488604851074
293,36,"192.168.1.4",256577954947862,488604853180
294,36,"192.168.1.4",256577954961714,488604855556
253,36,"192.168.1.10",431478280056150,488604902052
295,36,"192.168.1.4",256577954975343,488604904410
254,36,"192.168.1.10",431478280077206,488604906601
255,36,"192.168.1.10",431478280090780,488604908978
256,36,"192.168.1.10",431478280104372,488604954008
257,36,"192.168.1.10",431478280118465,488604956445
258,36,"192.168.1.10",431478280131687,488604958745
259,37,"192.168.1.10",431478280145391,488604961017
260,37,"192.168.1.10",431478280158817,488605006610
261,37,"192.168.1.10",431478280172020,488605009168
296,37,"192.168.1.4",256577955078677,488605011263
262,37,"192.168.1.10",431478280185280,488605013656
297,37,"192.168.1.4",256577955100473,488605059151
263,37,"192.168.1.10",431478280198669,488605063776
298,37,"192.168.1.4",256577955115158,488605065959
264,37,"192.168.1.10",431478280211891,488605068441
299,37,"192.168.1.4",256577955128973,488605112609
265,37,"192.168.1.10",431478280225132,488605115119
300,37,"192.168.1.4",256577955142732,488605117299
301,37,"192.168.1.4",256577955156602,488605119703
302,37,"192.168.1.4",256577955170362,488605163953
303,37,"192.168.1.4",256577955184102,488605166472
304,38,"192.168.1.4",256577955287177,488605217685
305,38,"192.168.1.4",256577955309658,488605220532
266,38,"192.168.1.10",431478280402150,488605222679
306,38,"192.168.1.4",256577955323917,488605225017
267,38,"192.168.1.10",431478280424317,488605272878
307,38,"192.168.1.4",256577955337788,488605277868
268,38,"192.168.1.10",431478280438150,488605284963
308,38,"192.168.1.4",256577955351677,488605290649
