Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
233,29,"192.168.1.4",266210602714102,10121179510674
234,29,"192.168.1.10",441110875361149,10121179512783
234,29,"192.168.1.4",266210602727824,10121179514999
235,29,"192.168.1.10",441110875374427,10121179560247
235,29,"192.168.1.4",266210602741472,10121179562590
236,29,"192.168.1.10",441110875387668,10121179564683
236,29,"192.168.1.4",266210602755046,10121179566821
237,29,"192.168.1.10",441110875401131,10121179613132
237,29,"192.168.1.4",266210602768805,10121179615636
238,29,"192.168.1.10",441110875415094,10121179617698
238,29,"192.168.1.4",266210602782546,10121179619996
239,29,"192.168.1.10",441110875428372,10121179666029
239,29,"192.168.1.4",266210602796268,10121179668448
240,30,"192.168.1.10",441110875534483,10121179670397
240,30,"192.168.1.4",266210602900139,10121179672580
241,30,"192.168.1.10",441110875556001,10121179718126
241,30,"192.168.1.4",266210602921731,10121179720827
242,30,"192.168.1.10",441110875569594,10121179722774
242,30,"192.168.1.4",266210602936417,10121179725039
243,30,"192.168.1.10",441110875583834,10121179770612
243,30,"192.168.1.4",266210602950213,10121179772914
244,30,"192.168.1.10",441110875597112,10121179777296
244,30,"192.168.1.4",266210602963991,10121179779499
245,30,"192.168.1.10",441110875610297,10121179823722
245,30,"192.168.1.4",266210602977861,10121179826351
246,30,"192.168.1.10",441110875623316,10121179828402
246,30,"192.168.1.4",266210602991472,10121179830670
247,30,"192.168.1.10",441110875636631,10121179876390
247,30,"192.168.1.4",266210603005324,10121179878929
248,31,"192.168.1.10",441110875742612,10121179881051
248,31,"192.168.1.4",266210603110157,10121179883337
249,31,"192.168.1.10",441110875763446,10121179928524
249,31,"192.168.1.4",266210603131768,10121179931099
250,31,"192.168.1.10",441110875776631,10121179933243
250,31,"192.168.1.4",266210603145879,10121179935670
251,31,"192.168.1.10",441110875790020,10121179983618
251,31,"192.168.1.4",266210603159731,10121179988930
252,31,"192.168.1.10",441110875803816,10121179996194
252,31,"192.168.1.4",266210603173694,10121180014493
253,31,"192.168.1.10",441110875817186,10121180035513
253,31,"192.168.1.4",266210603187472,10121180037962
254,31,"192.168.1.10",441110875830334,10121180040102
254,31,"192.168.1.4",266210603201231,10121180042368
255,31,"192.168.1.10",441110875843668,10121180087319
255,31,"192.168.1.4",266210603214972,10121180090139
256,32,"192.168.1.10",441110875950834,10121180095081
256,32,"192.168.1.4",266210603317194,10121180097261
257,32,"192.168.1.10",441110875971964,10121180139818
257,32,"192.168.1.4",266210603338768,10121180142388
258,32,"192.168.1.10",441110875985260,10121180144442
258,32,"192.168.1.4",266210603353361,10121180146649
259,32,"192.168.1.4",266210603367213,10121180192182
260,32,"192.168.1.4",266210603380805,10121180194795
259,32,"192.168.1.10",441110875998594,10121180196892
261,32,"192.168.1.4",266210603394565,10121180199148
260,32,"192.168.1.10",441110876041242,10121180244863
262,32,"192.168.1.4",266210603408305,10121180247763
261,32,"192.168.1.10",441110876055779,10121180249779
263,32,"192.168.1.4",266210603422176,10121180252135
262,32,"192.168.1.10",441110876069186,10121180298095
263,32,"192.168.1.10",441110876083205,10121180300407
264,33,"192.168.1.10",441110876096649,10121180302548
265,33,"192.168.1.10",441110876110038,10121180304764
266,33,"192.168.1.10",441110876123353,10121180350297
267,33,"192.168.1.10",441110876136612,10121180352919
268,33,"192.168.1.10",441110876149853,10121180355013
269,33,"192.168.1.10",441110876163038,10121180357260
264,33,"192.168.1.4",266210603525472,10121180402939
270,33,"192.168.1.10",441110876176797,10121180405345
265,33,"192.168.1.4",266210603546824,10121180407470
271,33,"192.168.1.10",441110876190057,10121180412036
267,33,"192.168.1.4",266210603574694,10121180455993
268,33,"192.168.1.4",266210603588287,10121180458563
269,33,"192.168.1.4",266210603602028,10121180460768
270,33,"192.168.1.4",266210603615639,10121180463069
271,33,"192.168.1.4",266210603629491,10121180512855
272,34,"192.168.1.10",441110876368483,10121180516102
272,34,"192.168.1.4",266210603733898,10121180518201
273,34,"192.168.1.10",441110876389649,10121180520430
273,34,"192.168.1.4",266210603755213,10121180561098
274,34,"192.168.1.10",441110876403131,10121180563675
274,34,"192.168.1.4",266210603769768,10121180565799
275,34,"192.168.1.10",441110876416446,10121180568051
275,34,"192.168.1.4",266210603783491,10121180613841
276,34,"192.168.1.10",441110876429631,10121180616166
276,34,"192.168.1.4",266210603797157,10121180618197
277,34,"192.168.1.10",441110876442797,10121180620472
277,34,"192.168.1.4",266210603810935,10121180666222
