Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
131,16,"192.168.1.10",440718508188587,9728813226807
129,16,"192.168.1.4",265818233429058,9728813228944
132,16,"192.168.1.10",440718508201661,9728813231183
133,16,"192.168.1.10",440718508214902,9728813268757
130,16,"192.168.1.4",265818233452854,9728813271308
134,16,"192.168.1.10",440718508228624,9728813273552
131,16,"192.168.1.4",265818233476650,9728813275884
135,16,"192.168.1.10",440718508241679,9728813321108
132,16,"192.168.1.4",265818233500299,9728813323729
133,16,"192.168.1.4",265818233523984,9728813330514
134,16,"192.168.1.4",265818233547706,9728813332695
135,16,"192.168.1.4",265818233571447,9728813373974
136,17,"192.168.1.4",265818233595502,9728813376453
137,17,"192.168.1.4",265818233619299,9728813378625
138,17,"192.168.1.4",265818233643132,9728813380838
136,17,"192.168.1.10",440718508419235,9728813426770
139,17,"192.168.1.4",265818233666558,9728813429287
137,17,"192.168.1.10",440718508440494,9728813431425
138,17,"192.168.1.10",440718508453661,9728813433727
140,17,"192.168.1.4",265818233690076,9728813479734
139,17,"192.168.1.10",440718508466735,9728813482265
141,17,"192.168.1.4",265818233713762,9728813484444
140,17,"192.168.1.10",440718508479791,9728813486819
141,17,"192.168.1.10",440718508492883,9728813531968
142,17,"192.168.1.4",265818233737336,9728813534397
142,17,"192.168.1.10",440718508505865,9728813536537
143,17,"192.168.1.10",440718508519605,9728813538635
143,17,"192.168.1.4",265818233761058,9728813584585
144,18,"192.168.1.10",440718508625457,9728813587118
144,18,"192.168.1.4",265818233868243,9728813589269
145,18,"192.168.1.10",440718508646494,9728813591535
146,18,"192.168.1.10",440718508659679,9728813637391
145,18,"192.168.1.4",265818233899502,9728813639682
147,18,"192.168.1.10",440718508672772,9728813644285
148,18,"192.168.1.10",440718508685624,9728813646523
146,18,"192.168.1.4",265818233924410,9728813691362
149,18,"192.168.1.10",440718508698772,9728813696076
147,18,"192.168.1.4",265818233948169,9728813699206
150,18,"192.168.1.10",440718508712698,9728813703351
151,18,"192.168.1.10",440718508726050,9728813742513
148,18,"192.168.1.4",265818233971965,9728813745037
149,18,"192.168.1.4",265818233995613,9728813747237
150,18,"192.168.1.4",265818234019391,9728813749431
151,18,"192.168.1.4",265818234042910,9728813795271
152,19,"192.168.1.4",265818234066780,9728813797807
152,19,"192.168.1.10",440718508833383,9728813800070
153,19,"192.168.1.4",265818234090595,9728813802236
153,19,"192.168.1.10",440718508854605,9728813847882
154,19,"192.168.1.10",440718508867957,9728813850375
154,19,"192.168.1.4",265818234114243,9728813852524
155,19,"192.168.1.10",440718508881068,9728813854810
156,19,"192.168.1.10",440718508894254,9728813900781
155,19,"192.168.1.4",265818234137965,9728813903202
157,19,"192.168.1.10",440718508907513,9728813905313
158,19,"192.168.1.10",440718508920661,9728813907512
156,19,"192.168.1.4",265818234161484,9728813952875
159,19,"192.168.1.10",440718508933772,9728813955414
157,19,"192.168.1.4",265818234185206,9728813959914
158,19,"192.168.1.4",265818234208873,9728813962103
159,19,"192.168.1.4",265818234232576,9728814005832
160,20,"192.168.1.4",265818234256410,9728814008387
161,20,"192.168.1.4",265818234280169,9728814010588
160,20,"192.168.1.10",440718509041994,9728814012678
161,20,"192.168.1.10",440718509063791,9728814058409
162,20,"192.168.1.4",265818234303817,9728814060831
162,20,"192.168.1.10",440718509077383,9728814062903
163,20,"192.168.1.10",440718509090531,9728814065142
163,20,"192.168.1.4",265818234327465,9728814111376
164,20,"192.168.1.10",440718509103846,9728814113826
164,20,"192.168.1.4",265818234351280,9728814116048
165,20,"192.168.1.10",440718509117142,9728814118317
166,20,"192.168.1.10",440718509130124,9728814163668
165,20,"192.168.1.4",265818234375113,9728814166230
167,20,"192.168.1.10",440718509143124,9728814168355
166,20,"192.168.1.4",265818234398576,9728814170585
167,20,"192.168.1.4",265818234422410,9728814222197
168,21,"192.168.1.4",265818234446299,9728814226170
169,21,"192.168.1.4",265818234470039,9728814228858
170,21,"192.168.1.4",265818234493836,9728814231595
168,21,"192.168.1.10",440718509250179,9728814269130
169,21,"192.168.1.10",440718509271568,9728814271609
171,21,"192.168.1.4",265818234517484,9728814273912
170,21,"192.168.1.10",440718509284994,9728814278503
171,21,"192.168.1.10",440718509299087,9728814322462
172,21,"192.168.1.4",265818234541262,9728814325047
172,21,"192.168.1.10",440718509312272,9728814327377
173,21,"192.168.1.10",440718509325494,9728814329687
173,21,"192.168.1.4",265818234564873,9728814374419
174,21,"192.168.1.10",440718509338605,9728814376904
174,21,"192.168.1.4",265818234588095,9728814379052
175,21,"192.168.1.10",440718509352439,9728814381146
175,21,"192.168.1.4",265818234611262,9728814427295
176,22,"192.168.1.4",265818234635169,9728814429813
177,22,"192.168.1.4",265818234659058,9728814431892
178,22,"192.168.1.4",265818234682910,9728814434156
176,22,"192.168.1.10",440718509459605,9728814479854
179,22,"192.168.1.4",265818234706836,9728814482316
177,22,"192.168.1.10",440718509480883,9728814484520
180,22,"192.168.1.4",265818234730317,9728814486792
178,22,"192.168.1.10",440718509494402,9728814532784
179,22,"192.168.1.10",440718509507476,9728814535322
181,22,"192.168.1.4",265818234753873,9728814537506
180,22,"192.168.1.10",440718509520457,9728814539770
181,22,"192.168.1.10",440718509534050,9728814584911
182,22,"192.168.1.4",265818234777706,9728814587374
182,22,"192.168.1.10",440718509547198,9728814589582
183,22,"192.168.1.10",440718509560254,9728814594327
183,22,"192.168.1.4",265818234801132,9728814638053
184,23,"192.168.1.10",440718509666828,9728814640646
184,23,"192.168.1.4",265818234908965,9728814642814
185,23,"192.168.1.10",440718509687754,9728814645052
186,23,"192.168.1.10",440718509700939,9728814690479
185,23,"192.168.1.4",265818234939780,9728814692928
187,23,"192.168.1.10",440718509714013,9728814695088
188,23,"192.168.1.10",440718509727124,9728814697419
186,23,"192.168.1.4",265818234964447,9728814753597
189,23,"192.168.1.10",440718509740235,9728814756016
187,23,"192.168.1.4",265818234987984,9728814758131
190,23,"192.168.1.10",440718509753883,9728814760285
191,23,"192.168.1.10",440718509767031,9728814762409
188,23,"192.168.1.4",265818235011632,9728814764655
189,23,"192.168.1.4",265818235035224,9728814793917
190,23,"192.168.1.4",265818235058947,9728814796528
191,23,"192.168.1.4",265818235082762,9728814848512
192,24,"192.168.1.4",265818235106780,9728814850928
192,24,"192.168.1.10",440718509875457,9728814853190
193,24,"192.168.1.4",265818235130743,9728814855372
193,24,"192.168.1.10",440718509896550,9728814901100
194,24,"192.168.1.10",440718509910013,9728814903652
194,24,"192.168.1.4",265818235154595,9728814905713
195,24,"192.168.1.10",440718509923216,9728814907940
196,24,"192.168.1.10",440718509936013,9728814954217
195,24,"192.168.1.4",265818235178150,9728814956688
197,24,"192.168.1.10",440718509949254,9728814958933
198,24,"192.168.1.10",440718509962272,9728814961272
196,24,"192.168.1.4",265818235201817,9728815006992
199,24,"192.168.1.10",440718509976161,9728815009566
197,24,"192.168.1.4",265818235225484,9728815011753
198,24,"192.168.1.4",265818235248836,9728815013930
199,24,"192.168.1.4",265818235272280,9728815059096
200,25,"192.168.1.4",265818235296058,9728815061428
201,25,"192.168.1.4",265818235320187,9728815063601
200,25,"192.168.1.10",440718510083476,9728815065831
201,25,"192.168.1.10",440718510104939,9728815112249
202,25,"192.168.1.4",265818235344076,9728815114713
202,25,"192.168.1.10",440718510118457,9728815116809
203,25,"192.168.1.4",265818235367799,9728815118927
203,25,"192.168.1.10",440718510131476,9728815164944
204,25,"192.168.1.10",440718510144587,9728815167482
204,25,"192.168.1.4",265818235391521,9728815169592
205,25,"192.168.1.10",440718510157735,9728815171865
206,25,"192.168.1.10",440718510170716,9728815217637
205,25,"192.168.1.4",265818235415206,9728815220876
207,25,"192.168.1.10",440718510183976,9728815223827
206,25,"192.168.1.4",265818235439095,9728815227264
